,Height,Weight,Age,Grip_strength,Frailty_Binary
Height,1.0,0.5715249798799161,-0.0325803925319988,-0.16768187528414782,0.1931860757731022
Weight,0.5715249798799161,1.0,0.1909258830016867,0.032806754369007395,0.5352001404158713
Age,-0.0325803925319988,0.1909258830016867,1.0,0.13375644238747397,-0.08365462639775029
Grip_strength,-0.16768187528414782,0.032806754369007395,0.13375644238747397,1.0,-0.4758668672668008
Frailty_Binary,0.1931860757731022,0.5352001404158713,-0.08365462639775029,-0.4758668672668008,1.0
